Name,Device Type,Device MAC,Associated To Mac,Associated To Hostname,IPv4 Address,IPv6 Address,User Name,Wlan,Channel,RF-Domain,Vlan,OS,Authentication,Encryption,BSSID
(null),18-F0-E4,18-F0-E4-D3-1B-55,84-24-8D-1B-86-74,AP3035-1B8770,0.0.0.0,N/A,,M-Guest,1,EMEAZPL13,164,Unknown,psk,ccmp,84-24-8D-40-C4-A1
MIMAX2-MiPhone,18-F0-E4,18-F0-E4-D5-B1-5B,84-24-8D-1B-71-70,AP4212-1B7170,150.130.71.23,N/A,,M-Guest,1,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-3F-AC-41
18-F0-E4-DE-D7-47,18-F0-E4,18-F0-E4-DE-D7-47,84-24-8D-84-1C-48,AP3507-841C48,150.130.82.13,fe80::1af0:e4ff:fede:d747,,M-Guest,6,EMEAZPL13,164,Unknown,psk,ccmp,84-24-8D-9D-95-51
(null),18-F0-E4,18-F0-E4-F6-E3-8F,84-24-8D-84-1C-54,AP3506-841C54,0.0.0.0,N/A,,M-Guest,11,EMEAZPL13,164,Unknown,psk,ccmp,84-24-8D-9D-94-A1
(null),18-F0-E4,18-F0-E4-FE-ED-3F,84-24-8D-84-1C-48,AP3507-841C48,0.0.0.0,N/A,,M-Guest,6,EMEAZPL13,164,Unknown,psk,ccmp,84-24-8D-9D-95-51
iPhone,18-F1-D8,18-F1-D8-86-A8-E4,84-24-8D-1B-2E-E0,AP0212-1B2EE0,150.130.7.45,fe80::1481:9c29:9afe:acb2,,M-Guest,132,AMERIL01,164,Unknown,psk,ccmp,84-24-8D-3F-30-11
Victors-iPhone,18-F1-D8,18-F1-D8-86-E1-B8,84-24-8D-1B-1F-20,AP2373-1B1F20,150.130.7.54,fe80::1c67:4bfc:255:4990,,M-Guest,108,AMERIL156,164,Unknown,psk,ccmp,84-24-8D-3F-51-21
18-F1-D8-87-B1-EE,18-F1-D8,18-F1-D8-87-B1-EE,84-24-8D-1A-0E-FC,AP0303-1A0EFC,150.130.2.35,fe80::140f:6545:9a6f:10ba,,M-Guest,1,AMERIL01,164,Unknown,psk,ccmp,84-24-8D-37-E5-11
Corys-iPhone,18-F1-D8,18-F1-D8-8A-05-31,84-24-8D-1B-23-A8,AP2385-1B23A8,150.130.11.170,fe80::1cf0:9b5f:46ba:205,,M-Guest,132,AMERIL156,164,Unknown,psk,ccmp,84-24-8D-3F-5E-91
Vinathas-iPhone,18-F1-D8,18-F1-D8-8E-DF-8A,84-24-8D-1A-0F-5C,AP1496-1A0F5C,150.130.5.128,fe80::55:912e:f43e:a57c,,M-Guest,36,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-38-65-81
(null),18-F1-D8,18-F1-D8-90-C1-0B,84-24-8D-1B-21-58,AP2391-1B2158,0.0.0.0,N/A,,M-Guest,36,AMERIL156,164,Unknown,psk,ccmp,84-24-8D-3F-1D-61
Alonzos-iPhone,18-F1-D8,18-F1-D8-98-3F-80,84-24-8D-1B-22-40,AP1319-1B2240,150.130.40.190,fe80::1014:b719:bff6:fee,,M-Guest,36,AMERMD25,164,Unknown,psk,ccmp,84-24-8D-3F-4D-31
Karens-iPhone,18-F1-D8,18-F1-D8-9C-64-52,84-24-8D-1A-12-34,AP2403-1A1234,150.130.0.36,fe80::109f:2cf9:f79c:d309,,M-Guest,157,AMERIL156,164,Unknown,psk,ccmp,84-24-8D-39-33-21
Johns-iPhone,18-F1-D8,18-F1-D8-A4-22-C8,84-24-8D-1A-FA-8C,AP0860-1AFA8C-IL105,150.130.45.229,fe80::146e:7fbc:8a65:c8f3,,M-Guest,44,AMERIL105,164,Unknown,psk,ccmp,84-24-8D-3F-16-01
18-F1-D8-AC-4E-58,18-F1-D8,18-F1-D8-AC-4E-58,84-24-8D-1B-21-CC,AP0196-1B21CC,150.130.8.133,fe80::14a6:1185:b1e1:f9c1,,M-Guest,44,AMERIL01,164,Unknown,psk,ccmp,84-24-8D-3F-4B-91
Chriss-iPhone,18-F1-D8,18-F1-D8-C7-9D-47,84-24-8D-1B-21-64,AP1027-1B2164,150.130.32.18,fe80::14f7:83d1:bd5e:63f1,,M-Guest,11,AMERSC06,164,Unknown,psk,ccmp,84-24-8D-3E-A4-51
Melanie-MOT,18-F1-D8,18-F1-D8-CB-1A-1B,84-24-8D-1B-25-18,AP1015-1B2518,150.130.32.201,fe80::c4d:29b7:a762:9195,,M-Guest,1,AMERTX111,164,Unknown,psk,ccmp,84-24-8D-3E-3C-D1
Nancys-iPhone,18-F1-D8,18-F1-D8-CF-E2-87,84-24-8D-1B-01-BC,AP2359-1B01BC,150.130.6.24,fe80::10b4:949b:442:e29f,,M-Guest,1,AMERIL156,164,Unknown,psk,ccmp,84-24-8D-3E-BB-A1
(null),18-F1-D8,18-F1-D8-D2-63-C8,84-24-8D-1B-00-30,AP1389-1B0030,0.0.0.0,N/A,,M-Guest,116,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-60-C1
Pauls-iPhone,18-F1-D8,18-F1-D8-E3-A7-7D,84-24-8D-1A-09-A4,AP0142-1A09A4,150.130.2.101,fe80::14e4:9f72:aad9:d2c7,,M-Guest,100,AMERIL01,164,Unknown,psk,ccmp,84-24-8D-38-2B-31
iPhone,18-F1-D8,18-F1-D8-E3-C7-D3,84-24-8D-1B-23-A8,AP2385-1B23A8,150.130.12.213,fe80::1c08:62d4:89c5:e3a8,,M-Guest,132,AMERIL156,164,Unknown,psk,ccmp,84-24-8D-3F-5E-91
Aimens-iPhone,18-F1-D8,18-F1-D8-EA-AE-3F,84-24-8D-1A-21-34,AP4533-1A2134-ZAS81,150.130.120.95,fe80::4b6:8043:3726:d4fc,,M-Guest,44,ASIAZAS81,164,Unknown,psk,ccmp,84-24-8D-38-84-91
PritamJaipuriar,18-F1-D8,18-F1-D8-F0-25-93,84-24-8D-1B-23-A8,AP2385-1B23A8,150.130.6.200,fe80::48f:b0b4:dd23:1ce1,,M-Guest,132,AMERIL156,164,Unknown,psk,ccmp,84-24-8D-3F-5E-91
DarrensiPhone6,Apple Inc,18-F6-43-21-D8-B0,84-24-8D-19-62-B8,AP3340-1962B8,150.130.101.62,fe80::821:f7d8:fa69:b319,,M-Guest,11,EMEAZNO07,164,Unknown,psk,ccmp,84-24-8D-32-B5-91
BaZ-iPhone,Apple Inc,18-F6-43-29-29-26,84-24-8D-1A-2F-F8,AP3209-1A2FF8,150.130.97.135,fe80::1881:bd08:a6d0:927b,,M-Guest,44,EMEAZUK02,164,Unknown,psk,ccmp,84-24-8D-38-97-A1
DyannaAisiPhone,Apple Inc,18-F6-43-38-2D-9E,84-24-8D-1B-80-D8,AP4118-1B80D8,150.130.74.87,N/A,,M-Guest,157,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-40-88-C1
(null),Apple Inc,18-F6-43-6C-24-79,84-24-8D-1B-7E-F4,AP4095-1B7C48,0.0.0.0,N/A,,M-Guest,1,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-40-E5-F1
5770-iPhone,Apple Inc,18-F6-43-78-B9-1F,84-24-8D-1B-7A-F8,AP4342-1B7AF8,150.130.41.107,fe80::1862:ab0c:f89d:3505,,M-Guest,1,AMERONT06,164,Unknown,psk,ccmp,84-24-8D-40-98-E1
iPhone-2,Apple Inc,18-F6-43-80-BB-C3,84-24-8D-1A-F6-74,AP2104-1AF674,150.130.33.79,fe80::18e1:e979:6449:f5de,,M-Guest,1,AMERIL157,164,Unknown,psk,ccmp,84-24-8D-3E-E8-21
Yide-iPhone,Apple Inc,18-F6-43-DE-51-E3,84-24-8D-1B-36-10,AP0209-1B3610,150.130.0.206,fe80::10fa:1745:46db:3c4f,,M-Guest,11,AMERIL01,164,Unknown,psk,ccmp,84-24-8D-3E-BF-B1
(null),18-FE-34,18-FE-34-D8-1E-62,84-24-8D-84-1C-98,AP3502-841C98,0.0.0.0,N/A,,M-Guest,1,EMEAZPL13,164,Unknown,psk,ccmp,84-24-8D-9D-92-B1
1A-69-0A-3D-72-DB,1A-69-0A,1A-69-0A-3D-72-DB,B8-50-01-17-68-32,AP3833-176832,10.132.120.220,N/A,host/zuk02-10-106.ds.mot.com,LAB-Wireless,6,EMEAZUK113,986,Unknown,eap,ccmp,B8-50-01-0B-93-30
(null),1A-91-CB,1A-91-CB-ED-6C-0B,84-24-8D-1B-81-F8,AP4180-1B81F8,0.0.0.0,N/A,,M-Guest,11,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-40-D2-01
1A-C7-40-94-E9-81,1A-C7-40,1A-C7-40-94-E9-81,84-24-8D-1A-1F-90,AP4594-1A1F90,10.225.179.213,fe80::f47c:3d4c:966d:b877,host/VMDB78-02.ds.mot.com,LAB-Wireless,6,ASIAZID01,986,Unknown,eap,ccmp,84-24-8D-38-E7-70
HUAWEI_nova_2i-a...,1C-15-1F,1C-15-1F-55-1E-05,84-24-8D-DF-7B-30,AP4646-DF7B30,150.130.67.116,N/A,,M-Guest,11,ASIAZMY33,164,Unknown,psk,ccmp,74-67-F7-09-B6-51
(null),1C-15-1F,1C-15-1F-88-13-CC,84-24-8D-1B-78-08,AP4151-1B7808,0.0.0.0,N/A,,M-Guest,1,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-3F-A8-D1
HUAWEI_nova_2i-d...,1C-15-1F,1C-15-1F-8F-08-73,84-24-8D-1B-78-38,AP4156-1B7838,150.130.74.184,fe80::1e15:1fff:fe8f:873,,M-Guest,11,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-3F-82-C1
HUAWEI_nova_2i-2...,1C-15-1F,1C-15-1F-8F-0B-48,84-24-8D-1B-78-BC,AP4174-1B78BC,150.130.65.180,N/A,,M-Guest,11,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-3F-DE-A1
(null),1C-15-1F,1C-15-1F-8F-BC-2C,84-24-8D-1B-7B-00,AP4180-1B81F8,0.0.0.0,N/A,,M-Guest,157,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-41-F4-61
HUAWEI_P10_Plus-...,1C-15-1F,1C-15-1F-8F-BC-B6,84-24-8D-1B-7D-BC,AP4122-1B7DBC,150.130.64.210,N/A,,M-Guest,44,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-40-73-01
HUAWEI_P10_lite-...,1C-15-1F,1C-15-1F-A1-B5-A9,74-67-F7-A4-7B-C0,AP3552-A47BC0,150.130.82.175,N/A,,M-Guest,6,EMEAZPL13,164,Unknown,psk,ccmp,74-67-F7-8A-4B-D1
HUAWEI_P10_Plus-...,1C-15-1F,1C-15-1F-A2-F7-6E,84-24-8D-1B-81-F8,AP4180-1B81F8,150.130.66.206,N/A,,M-Guest,157,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-41-F4-61
HUAWEI_Mate_9-2d...,1C-15-1F,1C-15-1F-AD-01-3D,84-24-8D-1B-74-88,AP4488-1B7488,150.130.117.37,fe80::1e15:1fff:fead:13d,,M-Guest,11,ASIAZCH141,164,Unknown,psk,ccmp,84-24-8D-3F-98-91
HUAWEI_Mate_10_P...,1C-15-1F,1C-15-1F-CD-ED-2D,84-24-8D-1B-81-F8,AP4180-1B81F8,150.130.68.103,N/A,,M-Guest,11,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-40-D2-01
Xenonoid-II,Samsung Elec Ltd,1C-23-2C-00-B4-37,84-24-8D-1B-81-F8,AP4071-1B72BC,150.130.65.146,N/A,,M-Guest,36,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-42-25-71
Galaxy-A5-2017,Samsung Elec Ltd,1C-23-2C-00-BA-6B,84-24-8D-1B-74-B8,AP4179-1B74B8,150.130.67.155,fe80::1e23:2cff:fe00:ba6b,,M-Guest,44,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-42-65-B1
Galaxy-J7-Prime,Samsung Elec Ltd,1C-23-2C-11-0A-63,84-24-8D-1B-7F-50,AP4163-1B7F50,150.130.65.90,N/A,,M-Guest,6,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-3F-DF-B1
Galaxy-A5-2017,Samsung Elec Ltd,1C-23-2C-26-AB-35,84-24-8D-1A-2F-E4,AP3208-1A2FE4,150.130.104.176,fe80::1e23:2cff:fe26:ab35,,M-Guest,1,EMEAZUK02,164,Unknown,psk,ccmp,84-24-8D-38-F4-C1
CMs-Samsung-A7,Samsung Elec Ltd,1C-23-2C-43-91-EB,84-24-8D-1A-0F-5C,AP1496-1A0F5C,150.130.8.178,fe80::1e23:2cff:fe43:91eb,,M-Guest,11,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-37-E4-E1
Galaxy-A5-2017,Samsung Elec Ltd,1C-23-2C-5D-38-93,84-24-8D-1B-85-4C,AP3005-1B854C,150.130.81.55,N/A,,M-Guest,11,EMEAZPL13,164,Unknown,psk,ccmp,84-24-8D-3F-D1-21
Galaxy-A5-2017,Samsung Elec Ltd,1C-23-2C-5D-3C-AB,84-24-8D-1B-86-B8,AP3057-1B86B8,150.130.81.133,fe80::1e23:2cff:fe5d:3cab,,M-Guest,44,EMEAZPL13,164,Unknown,psk,ccmp,84-24-8D-42-86-21
android-61265ca2...,Samsung Elec Ltd,1C-23-2C-92-24-75,84-24-8D-1B-71-70,AP4212-1B7170,150.130.66.119,N/A,,M-Guest,1,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-3F-AC-41
Galaxy-A5-2017,Samsung Elec Ltd,1C-23-2C-B7-8F-81,74-67-F7-A4-79-B0,AP3545-A479B0,150.130.81.13,fe80::1e23:2cff:feb7:8f81,,M-Guest,1,EMEAZPL13,164,Unknown,psk,ccmp,74-67-F7-8A-22-41
android-32c5459e...,Samsung Elec Ltd,1C-23-2C-B9-E2-F1,84-24-8D-1B-71-70,AP4212-1B7170,150.130.65.230,fe80::1e23:2cff:feb9:e2f1,,M-Guest,1,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-3F-AC-41
JamesB,Samsung Elec Ltd,1C-23-2C-DB-BF-3B,84-24-8D-1A-2F-6C,AP3250-1A2F6C,150.130.101.38,fe80::1e23:2cff:fedb:bf3b,,M-Guest,44,EMEAZUK120,164,Unknown,psk,ccmp,84-24-8D-39-47-71
Galaxy-A5-2017,Samsung Elec Ltd,1C-23-2C-F3-A2-EF,84-24-8D-1B-88-18,AP3137-1B8818,150.130.97.175,N/A,,M-Guest,6,EMEAZWG39,164,Unknown,psk,ccmp,84-24-8D-3F-DA-41
katjas-Air,1C-36-BB,1C-36-BB-12-8A-E8,84-24-8D-1B-25-94,AP1345-1B2594,150.130.2.212,fe80::1c73:fd7f:e7fe:89fd,,M-Guest,157,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-26-41
